english,russian
a,основной
able,состоянии
about,о
above,выше
act,акт
add,добавлять
afraid,боится
after,после
again,снова
against,против
age,возраст
ago,назад
agree,соглашаться
air,воздух
all,все
allow,позволять
also,также
always,всегда
am,утра
among,среди
an,назад
and,и
anger,гнев
animal,животных
answer,ответ
any,любой
appear,появляются
apple,яблоко
are,являются
area,площадь
arm,рука
arrange,организовать
arrive,приходим
art,искусство
as,как
ask,спросите
at,в
atom,атом
baby,ребенок
back,назад
bad,плохо
ball,мяч
band,полоса
bank,банк
bar,бар
base,база
basic,основной
bat,летучая мышь
be,быть
bear,нести
beat,бить
beauty,красота
bed,кровать
been,был
before,до
began,начал
begin,начать
behind,за
believe,верить
bell,колокол
best,лучше
better,лучше
between,между
big,большой
bird,птица
bit,немного
black,черный
block,блок
blood,кровь
blow,удар
blue,синий
board,доска
boat,лодка
body,тело
bone,кость
book,книга
born,родившийся
both,как
bottom,снизу
bought,купленный
box,коробка
boy,мальчик
branch,филиал
bread,хлеб
break,перерыв
bright,яркий
bring,приносить
broad,широкий
broke,сломал
brother,брат
brought,принес
brown,коричневый
build,строить
burn,сжечь
busy,занято
but,но
buy,купить
by,по
call,вызов
came,пришел
camp,лагерь
can,может
capital,капитал
captain,капитан
car,автомобиль
card,карта
care,уход
carry,нести
case,дело
cat,кошка
catch,улов
caught,пойманный
cause,причиной
cell,клеток
cent,цент
center,центр
century,век
certain,уверен
chair,стул
chance,шанс
change,изменение
character,характер
charge,взимать
chart,диаграмма
check,проверять
chick,цыпленок
chief,главный
child,ребенок
children,дети
choose,выбирать
chord,аккорд
circle,круг
city,город
claim,претензии
class,класс
clean,чистый
clear,ясно
climb,подъем
clock,часы
close,близко
clothe,одевать
cloud,облако
coast,побережье
coat,пальто
cold,холодный
collect,собирать
colony,колония
color,цвет
column,колонка
come,приходят
common,общая
company,компания
compare,сравнить
complete,полная
condition,состояние
connect,подключать
consider,рассматривать
consonant,согласный
contain,содержать
continent,континент
continue,продолжать
control,контроль
cook,повар
cool,круто
copy,копия
corn,кукуруза
corner,угол
correct,верный
cost,стоимость
cotton,хлопок
could,мог
count,считать
country,страна
course,курс
cover,крышка
cow,корова
crease,складка
create,создавать
crop,урожай
cross,пересекают
crowd,толпа
cry,крик
current,ток
cut,вырезать
dad,папа
dance,танец
danger,опасность
dark,темно
day,день
dead,мертвый
deal,сделка
dear,дорогой
death,смерть
decide,решать
decimal,десятичной
deep,глубоко
degree,степень
depend,зависеть
describe,описывать
desert,пустыня
design,дизайн
determine,определять
develop,развивать
dictionary,словарь
did,сделал
die,умереть
differ,отличаются
difficult,трудный
direct,прямой
discuss,обсуждать
distant,удаленная
divide,разделяй
division,деление
do,сделать
doctor,врач
does,делает
dog,собака
dollar,доллар
done,сделано
don’t,не
door,дверь
double,двойной
down,вниз
draw,привлечь
dream,мечтать
dress,платье
drink,напиток
drive,привод
drop,падение
dry,сухой
duck,утка
during,во
each,каждый
ear,ухо
early,рано
earth,земля
ease,легкость
east,восток
eat,есть
edge,край
effect,эффект
egg,яйцо
eight,восемь
either,или
electric,электрический
element,элемент
else,еще
end,конец
enemy,враг
energy,энергия
engine,двигатель
enough,достаточно
enter,введите
equal,равный
equate,приравнять
especially,особенно
even,даже
evening,вечер
event,мероприятие
ever,когда-либо
every,каждый
exact,точный
example,пример
except,кроме
excite,возбуждать
exercise,упражнение
expect,ожидать
experience,опыт
experiment,эксперимент
eye,глаз
face,лицо
fact,факт
fair,ярмарка
fall,падать
family,семья
famous,известный
far,далеко
farm,ферма
fast,быстро
fat,жира
father,отец
favor,пользу
fear,страх
feed,корма
feel,чувствовать
feet,футов
fell,упал
felt,чувствовал
few,несколько
field,поле
fig,рис
fight,борьба
figure,фигура
fill,заполнить
final,окончательный
find,находить
fine,отлично
finger,палец
finish,отделка
fire,огонь
first,первый
fish,рыба
fit,соответствовать
five,пять
flat,плоским
floor,этаж
flow,течь
flower,цветок
fly,летать
follow,следовать
food,еда
foot,фут
for,для
force,сила
forest,лес
form,форма
forward,вперед
found,найдено
four,четыре
fraction,доля
free,бесплатно
fresh,свежий
friend,друг
from,от
front,передние
fruit,фрукты
full,полный
fun,весело
game,игра
garden,сад
gas,газа
gather,собирать
gave,дал
general,общий
gentle,нежный
get,получать
girl,девушка
give,давать
glad,довольный
glass,стекло
go,идти
gold,золото
gone,ушел
good,хорошее
got,получил
govern,управлять
grand,великий
grass,трава
gray,серый
great,большой
green,зеленый
grew,выросла
ground,земля
group,группа
grow,расти
guess,догадываться
guide,направлять
gun,пистолет
had,было
hair,волосы
half,половина
hand,рука
happen,произойдет
happy,счастливы
hard,трудно
has,имеет
hat,шляпа
have,иметь
he,он
head,руководитель
hear,слышать
heard,слышал
heart,сердце
heat,тепло
heavy,тяжелый
held,ручные
help,помощь
her,ее
here,здесь
high,высокий
hill,холм
him,его
his,его
history,история
hit,хит
hold,удерживайте
hole,отверстие
home,домой
hope,надеюсь
horse,лошадь
hot,горячий
hour,час
house,дом
how,как
huge,огромный
human,человек
hundred,сто
hunt,охота
hurry,спешить
i,я
ice,лед
idea,идея
if,если
imagine,вообразить
in,взял
inch,дюйм
include,включают
indicate,указывать
industry,промышленность
insect,насекомое
instant,растворимый
instrument,инструмент
interest,интерес
invent,изобретать
iron,железо
is,является
island,остров
it,это
job,работа
join,присоединиться
joy,радость
jump,прыжок
just,просто
keep,держать
kept,хранится
key,ключ
kill,убивать
kind,вид
king,король
knew,знал
know,знать
lady,леди
lake,озеро
land,земля
language,язык
large,большой
last,последнее
late,поздно
laugh,смех
law,закон
lay,заложить
lead,привести
learn,учиться
least,мере
leave,оставить
led,привело
left,слева
leg,нога
length,длина
less,меньше
let,позволять
letter,письмо
level,уровень
lie,ложь
life,жизнь
lift,лифт
light,свет
like,подобно
line,линия
liquid,жидкости
list,список
listen,слушать
little,немного
live,жить
locate,разместить
log,войти
lone,одинокий
long,долго
look,искать
lost,потерянный
lot,много
loud,громко
love,любовь
low,низкий
machine,машина
made,сделал
magnet,магнит
main,основной
major,основным
make,сделать
man,человек
many,многие
map,карта
mark,знак
market,рынок
mass,масса
master,мастер
match,матч
material,материал
matter,дело
may,может
me,меня
mean,означать
meant,означало
measure,измерять
meat,мясо
meet,знакомства
melody,мелодия
men,люди
metal,металла
method,метод
middle,средний
might,мощи
mile,км
milk,молоко
million,миллион
mind,ум
mine,шахта
minute,минут
miss,мисс
mix,смешивать
modern,современный
molecule,молекула
moment,момент
money,деньги
month,месяц
moon,луна
more,еще
morning,утро
most,наиболее
mother,мать
motion,движение
mount,крепление
mountain,гора
mouth,рот
move,движение
much,много
multiply,умножить
music,музыка
must,должны
my,мой
name,название
nation,нация
natural,естественный
nature,природа
near,около
necessary,необходимо
neck,шея
need,нуждаться
neighbor,сосед
never,никогда не
new,новый
next,следующий
night,ночь
nine,девять
no,нет
noise,шум
noon,полдень
nor,ни
north,к северу
nose,нос
note,примечание
nothing,ничего
notice,уведомление
noun,существительное
now,сейчас
number,число
numeral,цифра
object,объект
observe,наблюдать
occur,происходить
ocean,океан
of,из
off,от
offer,предложение
office,офис
often,часто
oh,ой
oil,масло
old,старый
on,на
once,раз
one,один
only,только
open,открыт
operate,работать
opposite,напротив
or,или
order,порядок
organ,орган
original,оригинальный
other,другой
our,наш
out,из
over,над
own,самостоятельно
oxygen,кислорода
page,страница
paint,краска
pair,пара
paper,бумага
paragraph,пункт
parent,родитель
part,часть
particular,частности
party,партия
pass,проходить
past,мимо
path,путь
pattern,шаблон
pay,платить
people,люди
perhaps,"возможно,"
period,период
person,человек
phrase,фраза
pick,выбрать
picture,картинка
piece,кусок
pitch,шаг
place,место
plain,равнина
plan,план
plane,самолет
planet,планета
plant,завод
play,играть
please,пожалуйста
plural,множественное
poem,стихотворение
point,точка
poor,бедный
populate,заселять
port,порт
pose,представляют
position,положение
possible,возможно
post,пост
pound,фунт
power,мощность
practice,практика
prepare,подготовить
present,присутствует
press,нажмите
pretty,довольно
print,печать
probable,вероятный
problem,проблема
process,процесс
produce,производить
product,продукт
proper,собственно
property,имущество
protect,защищать
prove,доказывать
provide,обеспечить
pull,тянуть
push,толчок
put,положить
quart,кварта
question,вопрос
quick,быстро
quiet,тихо
quite,вполне
quotient,фактор
race,гонка
radio,радио
rail,железнодорожные
rain,дождь
raise,поднимать
ran,побежал
range,диапазон
rather,а
reach,достичь
read,читать
ready,готовый
real,реальный
reason,причина
receive,получать
record,запись
red,красный
region,область
remember,запомнить
repeat,повторение
reply,ответ
represent,представлять
require,требовать
rest,остальные
result,результат
rich,богатые
ride,поездка
right,право
ring,кольцо
rise,подниматься
river,река
road,дорога
rock,рок
roll,рулон
room,номер
root,корень
rope,веревка
rose,выросла
round,круглый
row,строка
rub,руб
rule,правило
run,запустить
safe,сейф
said,указанный
sail,парус
salt,соль
same,же
sand,песок
sat,сб
save,сохранить
saw,пила
say,сказать
scale,шкала
school,школа
science,наука
score,счет
sea,море
search,поиск
season,сезон
seat,сиденья
second,второй
section,раздел
see,посмотреть
seed,семян
seem,кажется
segment,сегмент
select,выбирать
self,самостоятельно
sell,продать
send,отправить
sense,смысл
sent,отправлено
sentence,приговор
separate,отдельный
serve,служить
set,набор
settle,урегулировать
seven,семь
several,несколько
shall,должен
shape,форма
share,доля
sharp,резкое
she,она
sheet,лист
shell,оболочка
shine,блеск
ship,корабль
shoe,обуви
shop,магазин
shore,берег
short,короткая
should,должны
shoulder,плечо
shout,крик
show,шоу
side,сторона
sight,зрение
sign,знак
silent,тихий
silver,серебро
similar,похожи
simple,простой
since,с
sing,петь
single,один
sister,сестра
sit,сидеть
six,шесть
size,размер
skill,умение
skin,кожа
sky,небо
slave,раб
sleep,сон
slip,скольжение
slow,медленно
small,небольшой
smell,запах
smile,улыбка
snow,снег
so,так
soft,мягкая
soil,почвы
soldier,солдат
solution,решение
solve,решить
some,некоторые
son,сын
song,песня
soon,скоро
sound,звук
south,юг
space,пространство
speak,говорить
special,специальный
speech,речь
speed,скорость
spell,заклинание
spend,провести
spoke,говорил
spot,место
spread,распространение
spring,весна
square,квадратный
stand,стоять
star,звезда
start,начало
state,состояние
station,станция
stay,оставаться
stead,вместо него
steam,пара
steel,сталь
step,шаг
stick,палка
still,еще
stone,камень
stood,стоял
stop,остановить
store,магазин
story,история
straight,прямо
strange,странный
stream,поток
street,улица
stretch,протяжение
string,строка
strong,сильный
student,студент
study,исследование
subject,заголовок
substance,вещество
subtract,вычитать
success,успех
such,такие
sudden,внезапный
suffix,суффикс
sugar,сахар
suggest,предложить
suit,костюм
summer,лето
sun,солнце
supply,поставка
support,поддержка
sure,уверен
surface,поверхность
surprise,сюрприз
swim,плавать
syllable,слог
symbol,символ
system,система
table,стол
tail,хвост
take,принимать
talk,разговор
tall,высокий
teach,учить
team,команда
teeth,зубы
tell,сказать
temperature,температура
ten,десять
term,термин
test,тест
than,чем
thank,спасибо
that,что
the,площадь
their,их
them,их
then,затем
there,там
these,эти
they,они
thick,толщиной
thin,тонкий
thing,вещь
think,думать
third,третий
this,это
those,"тех,"
though,хотя
thought,мысль
thousand,тыс
three,три
through,через
throw,бросать
thus,таким образом
tie,связать
time,время
tiny,крошечный
tire,шина
to,гора
together,вместе
told,сказал
tone,тон
too,слишком
took,взял
tool,инструмент
top,топ
total,общий
touch,коснуться
toward,к
town,город
track,трек
trade,торговля
train,поезд
travel,поездки
tree,дерево
triangle,треугольник
trip,поездка
trouble,беда
truck,грузовик
true,правда
try,пытаться
tube,трубка
turn,поворот
twenty,двадцать
two,два
type,тип
under,под
unit,блок
until,до
up,вверх
us,нам
use,использование
usual,обычно
valley,долина
value,значение
vary,меняться
verb,глагол
very,очень
view,вид
village,деревня
visit,визит
voice,голос
vowel,гласный
wait,ждать
walk,ходить
wall,стена
want,хочу
war,война
warm,теплый
was,было
wash,стирка
watch,смотреть
water,вода
wave,волна
way,способ
we,мы
wear,носить
weather,погода
week,неделя
weight,вес
well,хорошо
went,пошел
were,были
west,запад
what,что
wheel,колеса
when,когда
where,где
whether,ли
which,который
while,в то время как
white,белый
who,кто
whole,весь
whose,чьи
why,почему
wide,широкий
wife,жена
wild,дикий
will,будет
win,выиграть
wind,ветер
window,окно
wing,крыло
winter,зима
wire,провод
wish,хотите
with,с
woman,женщина
women,женщины
wonder,интересно
won’t,не будет
wood,дерево
word,слово
work,работа
world,мир
would,бы
write,запись
written,написанный
wrong,неправильно
wrote,писал
yard,двор
year,год
yellow,желтый
yes,да
yet,еще
you,вы
young,молодой
your,ваш
