english,urdu
a,ایک
able,قابل
about,کے بارے میں
above,اوپر
act,ایکٹ
add,شامل
afraid,ڈر
after,کے بعد
again,پھر
against,کے خلاف
age,عمر
ago,پہلے
agree,اتفاق
air,ہوا
all,تمام
allow,کی اجازت
also,بھی
always,ہمیشہ
am,صبح
among,میں
an,ایک
and,اور
anger,غصہ
animal,جانور
answer,جواب
any,کوئی بھی
appear,ظاہر
apple,ایپل
are,ہیں
area,علاقے
arm,بازو
arrange,بندوبست
arrive,پہنچ
art,فن
as,کے طور پر
ask,پوچھنا
at,میں
atom,ایٹم
baby,بچے
back,واپس
bad,برا
ball,گیند
band,بینڈ
bank,بینک
bar,بار
base,بنیاد
basic,بنیادی
bat,بیٹ
be,ہو
bear,برداشت
beat,شکست دی
beauty,خوبصورتی
bed,بستر
been,رہا
before,پہلے
began,شروع
begin,شروع
behind,پیچھے
believe,یقین
bell,گھنٹی
best,بہترین
better,بہتر
between,کے درمیان
big,بڑا
bird,برڈ
bit,سا
black,سیاہ
block,بلاک
blood,خون
blow,دھچکا
blue,بلیو
board,بورڈ
boat,کشتی
body,جسم
bone,ہڈی
book,کتاب
born,پیدا ہوا
both,دونوں
bottom,نیچے
bought,خریدا
box,باکس
boy,لڑکے
branch,شاخ
bread,روٹی
break,وقفے
bright,روشن
bring,لانے کے
broad,وسیع
broke,توڑ دیا
brother,بھائی
brought,لایا
brown,براؤن
build,تعمیر
burn,جلا
busy,مصروف
but,لیکن
buy,خریدنے کے
by,کی طرف سے
call,کال
came,آیا
camp,کیمپ
can,کر سکتے ہیں
capital,دارالحکومت
captain,کیپٹن
car,کار
card,کارڈ
care,دیکھ بھال
carry,لے جانے کے
case,کیس
cat,بلی
catch,کیچ
caught,پکڑے
cause,وجہ
cell,سیل
cent,فیصد
center,مرکز
century,صدی
certain,کچھ
chair,کرسی
chance,موقع
change,تبدیلی
character,کردار
charge,چارج
chart,چارٹ
check,چیک
chick,لڑکی
chief,چیف
child,بچے
children,بچوں
choose,منتخب کریں
chord,راگ
circle,دائرے
city,شہر
claim,دعوی
class,کلاس
clean,صاف
clear,واضح
climb,چڑھنے
clock,گھڑی
close,بند کریں
clothe,کپڑے
cloud,بادل
coast,کوسٹ
coat,کوٹ
cold,سرد
collect,جمع
colony,کالونی
color,رنگین
column,کالم
come,آئے
common,عام
company,کمپنی
compare,موازنہ
complete,مکمل
condition,حالت
connect,مربوط
consider,غور
consonant,آواز
contain,پر مشتمل ہے
continent,براعظم
continue,جاری
control,کنٹرول
cook,کک
cool,ڈاؤن لوڈ، اتارنا
copy,کاپی
corn,مکئی
corner,کونے
correct,صحیح
cost,قیمت
cotton,کپاس
could,کر سکتے ہیں
count,شمار
country,ملک
course,کورس
cover,کور
cow,گائے
crease,کریج
create,تخلیق
crop,فصل
cross,پار
crowd,بھیڑ
cry,رونا
current,موجودہ
cut,کٹ
dad,والد
dance,رقص
danger,خطرہ
dark,سیاہ
day,دن
dead,مردہ
deal,معاہدے
dear,عزیز
death,موت
decide,فیصلہ
decimal,دشملو
deep,گہری
degree,ڈگری
depend,انحصار
describe,وضاحت
desert,صحرا
design,ڈیزائن
determine,کا تعین
develop,ترقی
dictionary,ڈکشنری
did,کیا
die,مر
differ,اختلاف
difficult,مشکل
direct,براہ راست
discuss,بات چیت
distant,دور
divide,تقسیم
division,ڈویژن
do,کر
doctor,ڈاکٹر
does,کرتا ہے
dog,کتا
dollar,ڈالر
done,ہو گیا
don’t,نہیں
door,دروازہ
double,ڈبل
down,نیچے
draw,اپنی طرف متوجہ
dream,خواب
dress,کپڑے
drink,ڈرنک
drive,ڈرائیو
drop,ڈراپ
dry,خشک
duck,بتھ
during,کے دوران
each,ہر ایک
ear,کان
early,ابتدائی
earth,زمین
ease,کم
east,وسطی
eat,کھانے
edge,کنارے
effect,اثر
egg,انڈے
eight,آٹھ
either,یا تو
electric,بجلی
element,عنصر
else,اور
end,آخر
enemy,دشمن
energy,توانائی
engine,انجن
enough,کافی
enter,داخل
equal,برابر
equate,برابر
especially,خاص طور پر
even,بھی
evening,شام
event,واقعہ
ever,کبھی
every,ہر
exact,عین مطابق
example,مثال کے طور پر
except,سوائے
excite,اتیجیت
exercise,ورزش
expect,توقع
experience,تجربہ
experiment,تجربہ
eye,آنکھ
face,چہرے
fact,حقیقت یہ ہے
fair,منصفانہ
fall,گر
family,خاندان
famous,مشہور
far,اب تک
farm,فارم
fast,تیزی سے
fat,چربی
father,والد
favor,کی حمایت
fear,خوف
feed,فیڈ
feel,محسوس
feet,پاؤں
fell,گر
felt,محسوس
few,چند
field,میدان
fig,انجیر
fight,جنگ
figure,کے اعداد و شمار
fill,بھرنے
final,آخری
find,تلاش
fine,ٹھیک
finger,انگلی
finish,ختم
fire,آگ
first,پہلے
fish,مچھلی
fit,فٹ
five,پانچ
flat,فلیٹ
floor,منزل
flow,بہاؤ
flower,پھول
fly,پرواز
follow,فالو کریں
food,کھانا
foot,پاؤں
for,کے لئے
force,طاقت
forest,جنگل
form,فارم
forward,آگے
found,پایا
four,چار
fraction,حصہ
free,مفت
fresh,تازہ
friend,دوست
from,سے
front,سامنے
fruit,پھل
full,مکمل
fun,مزہ
game,کھیل ہی کھیل میں
garden,باغ
gas,گیس
gather,جمع
gave,دی
general,جنرل
gentle,نرم
get,حاصل
girl,لڑکی
give,دے
glad,خوشی
glass,گلاس
go,جاؤ
gold,سونا
gone,چلا گیا
good,اچھا
got,ملا
govern,حکومت
grand,گرینڈ
grass,گھاس
gray,بھوری رنگ
great,عظیم
green,سبز
grew,اضافہ ہوا
ground,زمین
group,گروپ
grow,اضافہ
guess,لگتا ہے
guide,رہنمائی
gun,بندوق
had,تھا
hair,بال
half,نصف
hand,ہاتھ
happen,ہو
happy,خوش
hard,مشکل
has,ہے
hat,ٹوپی
have,ہے
he,وہ
head,سر
hear,سن
heard,سنا
heart,دل
heat,گرمی
heavy,بھاری
held,منعقد
help,مدد
her,اس
here,یہاں
high,اعلی
hill,پہاڑی
him,اس
his,ان
history,تاریخ
hit,مارا
hold,پکڑ
hole,سوراخ
home,گھر
hope,امید
horse,گھوڑا
hot,گرم، شہوت انگیز
hour,گھنٹے
house,گھر
how,کس طرح
huge,بہت بڑا
human,انسانی
hundred,سو
hunt,ہنٹ
hurry,جلدی
i,میں
ice,برف
idea,خیال
if,اگر
imagine,تصور
in,میں
inch,انچ
include,شامل
indicate,اس بات کی نشاندہی
industry,صنعت
insect,کیڑے
instant,فوری طور پر
instrument,آلہ
interest,دلچسپی
invent,ایجاد
iron,لوہے
is,ہے
island,جزائر
it,یہ
job,کام
join,میں شامل
joy,خوشی
jump,کود
just,صرف
keep,رکھنے کے
kept,رکھا
key,اہم
kill,قتل
kind,قسم
king,بادشاہ
knew,جانتا تھا
know,جانتے ہیں
lady,لیڈی
lake,جھیل
land,ملک
language,زبان
large,بڑے
last,آخری
late,دیر سے
laugh,ہنسی
law,قانون
lay,پوشیدہ
lead,قیادت
learn,جاننے کے
least,کم از کم
leave,چھوڑ
led,قیادت
left,بائیں
leg,ٹانگ
length,لمبائی
less,کم
let,دو
letter,خط
level,سطح
lie,جھوٹ
life,زندگی
lift,لفٹ
light,روشنی
like,کی طرح
line,لائن
liquid,مائع
list,فہرست
listen,سننا
little,تھوڑا
live,رہتے
locate,تلاش
log,لاگ ان
lone,واحد
long,طویل
look,نظر
lost,کھو
lot,بہت
loud,بلند آواز
love,محبت
low,کم
machine,مشین
made,بنا
magnet,مقناطیس
main,اہم
major,اہم
make,بنانے
man,آدمی
many,بہت سے
map,نقشہ
mark,مارک
market,مارکیٹ
mass,بڑے پیمانے پر
master,ماسٹر
match,میچ
material,مواد
matter,معاملہ
may,ہو سکتا ہے
me,مجھے
mean,مطلب
meant,مطلب
measure,پیمائش
meat,گوشت
meet,ملو
melody,میلوڈی
men,مردوں کے
metal,دھات
method,طریقہ
middle,مشرق
might,ہو سکتا ہے
mile,میل
milk,دودھ
million,ملین
mind,ذہن
mine,میرا
minute,منٹ
miss,مس
mix,ملا
modern,جدید
molecule,انو
moment,لمحے
money,پیسہ
month,ماہ
moon,چاند
more,مزید
morning,صبح
most,سب سے زیادہ
mother,ماں
motion,تحریک
mount,پہاڑ
mountain,پہاڑ
mouth,منہ
move,اقدام
much,زیادہ سے زیادہ
multiply,ضرب
music,موسیقی
must,ضروری
my,میرا
name,نام
nation,قوم
natural,قدرتی
nature,نوعیت
near,قریب
necessary,ضروری
neck,گردن
need,ضرورت
neighbor,پڑوسی
never,کبھی نہیں
new,نئے
next,اگلا
night,رات
nine,نو
no,کوئی
noise,شور
noon,دوپہر
nor,اور نہ ہی
north,شمالی
nose,ناک
note,نوٹ
nothing,کچھ بھی نہیں
notice,نوٹس
noun,سنجشتھا
now,اب
number,تعداد
numeral,ہندسی
object,اعتراض
observe,کا مشاہدہ
occur,پائے جاتے ہیں
ocean,سمندر
of,کے
off,بند
offer,پیشکش
office,دفتر
often,اکثر
oh,اوہ
oil,تیل
old,پرانے
on,پر
once,ایک بار
one,ایک
only,صرف
open,کھولیں
operate,کام
opposite,اس کے برعکس
or,یا
order,حکم
organ,عضو
original,اصل
other,دیگر
our,ہمارے
out,باہر
over,پر
own,اپنے
oxygen,آکسیجن
page,صفحہ
paint,پینٹ
pair,جوڑی
paper,کاغذ
paragraph,پیراگراف
parent,والدین
part,حصہ
particular,خاص طور پر
party,پارٹی
pass,پاس
past,ماضی
path,راستہ
pattern,پیٹرن
pay,ادائیگی
people,لوگ
perhaps,شاید
period,مدت
person,شخص
phrase,جملہ
pick,منتخب
picture,تصویر
piece,ٹکڑا
pitch,پچ
place,جگہ
plain,سادہ
plan,منصوبہ بندی
plane,ہوائی جہاز
planet,سیارے
plant,پلانٹ
play,ادا
please,براہ مہربانی
plural,جمع
poem,نظم
point,نقطہ
poor,غریب
populate,آباد
port,پورٹ
pose,لاحق
position,پوزیشن
possible,ممکن
post,پوسٹ
pound,پونڈ
power,بجلی
practice,پریکٹس
prepare,تیار
present,موجودہ
press,پریس
pretty,خوبصورت
print,پرنٹ
probable,ممکنہ
problem,مسئلہ
process,عمل
produce,پیداوار
product,مصنوعات
proper,مناسب
property,جائیداد
protect,حفاظت
prove,ثابت
provide,فراہم کرتے ہیں
pull,ھیںچو
push,دھکا
put,ڈال
quart,کرسٹل
question,سوال
quick,فوری
quiet,پرسکون
quite,بہت
quotient,قسیم
race,ریس
radio,ریڈیو
rail,ریل
rain,بارش
raise,بلند
ran,بھاگ گیا
range,رینج
rather,بلکہ
reach,تک پہنچنے
read,پڑھیں
ready,تیار
real,اصلی
reason,وجہ
receive,حاصل
record,ریکارڈ
red,ریڈ
region,خطے
remember,یاد
repeat,دوبارہ
reply,جواب
represent,کی نمائندگی
require,کی ضرورت ہوتی ہے
rest,باقی
result,نتیجہ
rich,امیر
ride,سواری
right,حق
ring,انگوٹی
rise,اضافہ
river,دریا
road,سڑک
rock,راک
roll,رول
room,کمرے
root,جڑ
rope,رسی
rose,گلاب
round,گول
row,قطار
rub,مسح
rule,اصول
run,رن
safe,محفوظ
said,انہوں نے کہا کہ
sail,سیل
salt,نمک
same,ہی
sand,ریت
sat,ہفتہ
save,کو بچانے کے
saw,ص
say,کا کہنا ہے کہ
scale,پیمانے
school,اسکول
science,سائنس
score,اسکور
sea,سمندر
search,تلاش
season,موسم
seat,نشست
second,دوسری
section,سیکشن
see,دیکھیں
seed,بیج
seem,لگتا ہے
segment,طبقہ
select,منتخب کریں
self,خود
sell,فروخت
send,بھیجیں
sense,احساس
sent,بھیجا
sentence,سزا
separate,علیحدہ
serve,خدمت
set,سیٹ
settle,حل
seven,سات
several,کئی
shall,گے
shape,شکل
share,حصہ
sharp,تیز
she,وہ
sheet,شیٹ
shell,شیل
shine,چمک
ship,جہاز
shoe,جوتا
shop,دکان
shore,کنارے
short,مختصر
should,چاہئے
shoulder,کندھے
shout,چللاو
show,شو
side,کی طرف
sight,نظر
sign,سائن ان کریں
silent,خاموش
silver,چاندی
similar,اسی طرح
simple,سادہ
since,سے
sing,گانا
single,ایک
sister,بہن
sit,بیٹھ
six,چھ
size,سائز
skill,مہارت
skin,جلد
sky,آسمان
slave,غلام
sleep,نیند
slip,پرچی
slow,سست
small,چھوٹے
smell,بو
smile,مسکراہٹ
snow,برف
so,تو
soft,نرم
soil,مٹی
soldier,فوجی
solution,حل
solve,حل
some,کچھ
son,بیٹا
song,نغمہ
soon,جلد ہی
sound,آواز
south,جنوبی
space,خلائی
speak,بات
special,خصوصی
speech,تقریر
speed,رفتار
spell,جادو
spend,خرچ
spoke,بات چیت
spot,اسپاٹ
spread,پھیلاؤ
spring,موسم بہار
square,چوک
stand,کھڑے
star,ستارہ
start,آغاز
state,ریاست
station,اسٹیشن
stay,رہنا
stead,جگہ
steam,بھاپ
steel,سٹیل
step,قدم
stick,چسپاں
still,اب بھی
stone,پتھر
stood,کھڑا
stop,کو روکنے کے
store,سٹور
story,کہانی
straight,براہ راست
strange,عجیب
stream,ندی
street,سڑک
stretch,مسلسل
string,تار
strong,مضبوط
student,طالب علم
study,مطالعہ
subject,موضوع
substance,مادہ
subtract,منہا
success,کامیابی
such,اس طرح
sudden,اچانک
suffix,لاحقہ
sugar,چینی
suggest,مشورہ
suit,سوٹ
summer,موسم گرما
sun,سورج
supply,فراہمی
support,کی حمایت
sure,اس بات کا یقین
surface,سطح
surprise,تعجب کی بات
swim,تیر
syllable,شبدانش
symbol,علامت
system,نظام
table,ٹیبل
tail,دم
take,لے
talk,بات
tall,قد
teach,سکھانا
team,ٹیم
teeth,دانت
tell,بتانا
temperature,درجہ حرارت
ten,دس
term,اصطلاح
test,ٹیسٹ
than,سے
thank,شکریہ
that,کہ
the,فہرست
their,ان
them,ان
then,پھر
there,وہاں
these,ان
they,وہ
thick,موٹی
thin,پتلی
thing,بات
think,لگتا ہے
third,تیسری
this,اس
those,ان
though,اگرچہ
thought,سوچا
thousand,ہزار
three,تین
through,کے ذریعے
throw,پھینک
thus,اس طرح
tie,ٹائی
time,وقت
tiny,چھوٹے
tire,ٹائر
to,کرنے کے لئے
together,ایک ساتھ مل کر
told,بتایا
tone,سر
too,بھی
took,لیا
tool,آلے
top,سب سے اوپر
total,کل
touch,چھو
toward,کی طرف
town,شہر
track,ٹریک
trade,تجارت
train,ٹرین
travel,سفر
tree,درخت
triangle,مثلث
trip,سفر
trouble,مصیبت
truck,ٹرک
true,سچ
try,کوشش
tube,ٹیوب
turn,باری
twenty,بیس
two,دو
type,قسم
under,کے تحت
unit,یونٹ
until,جب تک
up,اپ
us,ہم
use,استعمال
usual,معمول
valley,وادی
value,قیمت
vary,مختلف
verb,فعل
very,بہت
view,دیکھیں
village,گاؤں
visit,دورہ
voice,آواز
vowel,سر
wait,انتظار
walk,چلنا
wall,دیوار
want,چاہتے ہیں
war,جنگ
warm,گرم
was,تھا
wash,واش
watch,گھڑی
water,پانی
wave,لہر
way,راستہ
we,ہم
wear,پہننا
weather,موسم
week,ہفتے
weight,وزن
well,اچھی طرح سے
went,گیا
were,تھے
west,مغرب
what,کیا
wheel,وہیل
when,جب
where,جہاں
whether,چاہے
which,جس
while,جبکہ
white,سفید
who,جو
whole,پورے
whose,جن
why,کیوں
wide,وسیع
wife,بیوی
wild,جنگلی
will,گا
win,جیت
wind,ہوا
window,ونڈو
wing,ونگ
winter,موسم سرما
wire,تار
wish,خواہش
with,کے ساتھ
woman,عورت
women,خواتین
wonder,حیرت ہے
won’t,نہیں
wood,لکڑی
word,لفظ
work,کام
world,دنیا
would,گا
write,لکھنا
written,لکھا
wrong,غلط
wrote,لکھا
yard,یارڈ
year,سال
yellow,پیلے رنگ
yes,جی ہاں
yet,ابھی
you,آپ
young,نوجوان
your,آپ
