english,uyghur
a,а
able,сәләтле
about,турында
above,өстә
act,акт
add,өстәргә
afraid,курка
after,аннан соң
again,тагын
against,каршы
age,яшь
ago,элек
agree,риза
air,һава
all,барысы да
allow,рөхсәт итегез
also,шулай ук
always,гел
am,мин
among,арасында
an,ан
and,һәм
anger,ачу
animal,хайван
answer,җавап
any,теләсә нинди
appear,пәйда була
apple,алма
are,бар
area,мәйданы
arm,кул
arrange,тәртипкә китерегез
arrive,килеп җит
art,сәнгать
as,кебек
ask,сора
at,чыгыш
atom,атом
baby,сабый
back,кире
bad,начар
ball,туп
band,төркем
bank,банк
bar,бар
base,нигез
basic,төп
bat,бат
be,бул
bear,аю
beat,кыйнау
beauty,матурлык
bed,карават
been,булды
before,элек
began,башланды
begin,башларга
behind,артта
believe,ышан
bell,кыңгырау
best,иң яхшы
better,яхшырак
between,арасында
big,зур
bird,кош
bit,бераз
black,кара
block,блок
blood,кан
blow,сугу
blue,зәңгәр
board,такта
boat,көймә
body,тән
bone,сөяк
book,китап
born,туган
both,икесе дә
bottom,аста
bought,сатып алынган
box,тартма
boy,малай
branch,филиал
bread,икмәк
break,тәнәфес
bright,якты
bring,алып кил
broad,киң
broke,ватылды
brother,абый
brought,алып килделәр
brown,коңгырт
build,төзү
burn,яндыру
busy,мәшгуль
but,ләкин
buy,сатып ал
by,тарафыннан
call,шалтырату
came,килде
camp,лагерь
can,булдыра ала
capital,капитал
captain,капитан
car,машина
card,карточка
care,кайгырту
carry,алып бару
case,очрак
cat,мәче
catch,тоту
caught,тотылды
cause,сәбәп
cell,күзәнәк
cent,цент
center,үзәк
century,гасыр
certain,билгеле
chair,урындык
chance,мөмкинлек
change,үзгәртү
character,характер
charge,заряд
chart,диаграмма
check,тикшерегез
chick,тавык
chief,начальнигы
child,бала
children,балалар
choose,сайлау
chord,аккорд
circle,түгәрәк
city,шәһәр
claim,таләп
class,класс
clean,чиста
clear,чиста
climb,менү
clock,сәгать
close,ябык
clothe,киен
cloud,болыт
coast,яр
coat,пальто
cold,салкын
collect,җыю
colony,колония
color,төс
column,багана
come,кил
common,уртак
company,компаниясе
compare,чагыштырыгыз
complete,тулы
condition,шарт
connect,тоташу
consider,карагыз
consonant,сузык аваз
contain,эчендә
continent,континент
continue,дәвам итегез
control,контроль
cook,пешерегез
cool,салкын
copy,күчереп алу
corn,кукуруз
corner,почмак
correct,дөрес
cost,бәясе
cotton,мамык
could,булдыра алыр иде
count,санагыз
country,ил
course,курс
cover,каплау
cow,сыер
crease,эрү
create,булдыру
crop,уҗым культурасы
cross,кросс
crowd,халык
cry,ела
current,ток
cut,кисү
dad,әти
dance,бию
danger,куркыныч
dark,караңгы
day,көн
dead,үлде
deal,килешү
dear,кадерлем
death,үлем
decide,карар
decimal,дистә
deep,тирән
degree,дәрәҗәсе
depend,бәйле
describe,тасвирла
desert,чүл
design,дизайн
determine,билгеләү
develop,үсеш
dictionary,сүзлек
did,эшләде
die,үлә
differ,төрле
difficult,авыр
direct,туры
discuss,фикер алышу
distant,ерак
divide,бүлү
division,бүленү
do,эшлә
doctor,табиб
does,эшли
dog,эт
dollar,доллар
done,эшләнде
don’t,эшләмә
door,ишек
double,икеләтә
down,аста
draw,рәсем
dream,хыял
dress,кием
drink,эч
drive,диск
drop,төшү
dry,коры
duck,үрдәк
during,вакытында
each,һәрберсе
ear,колак
early,иртә
earth,җир
ease,җиңеллек
east,көнчыгыш
eat,ашау
edge,кыр
effect,эффект
egg,йомырка
eight,сигез
either,яисә
electric,электр
element,элемент
else,бүтән
end,ахыр
enemy,дошман
energy,энергия
engine,двигатель
enough,җитте
enter,керегез
equal,тигез
equate,тигезләү
especially,аеруча
even,хәтта
evening,кич
event,вакыйга
ever,гел
every,һәрбер
exact,төгәл
example,мисал
except,башка
excite,дулкынландыр
exercise,күнегүләр
expect,көтегез
experience,тәҗрибә
experiment,эксперимент
eye,күз
face,йөз
fact,факт
fair,ярминкә
fall,егылу
family,гаилә
famous,танылган
far,ерак
farm,фермасы
fast,тиз
fat,май
father,әтисе
favor,хуплау
fear,курку
feed,туклану
feel,тою
feet,аяк
fell,егылды
felt,сизелде
few,бик аз
field,кыр
fig,инҗир
fight,сугыш
figure,фигурасы
fill,тутыру
final,финал
find,табу
fine,әйбәт
finger,бармак
finish,тәмамлау
fire,ут
first,башта
fish,балык
fit,туры килә
five,биш
flat,яссы
floor,идән
flow,агым
flower,чәчәк
fly,оча
follow,иярегез
food,ризык
foot,аяк
for,өчен
force,көч
forest,урман
form,форма
forward,forward
found,табылды
four,дүрт
fraction,фракция
free,бушлай
fresh,яңа
friend,дус
from,дан
front,фронт
fruit,җимеш
full,тулы
fun,күңелле
game,уен
garden,бакча
gas,газ
gather,җыел
gave,бирде
general,гомуми
gentle,йомшак
get,алу
girl,кыз
give,бир
glad,шат
glass,пыяла
go,бар
gold,алтын
gone,китте
good,яхшы
got,алдым
govern,идарә итү
grand,олы
grass,үлән
gray,соры
great,бик яхшы
green,яшел
grew,үсә
ground,җир
group,төркем
grow,үсә
guess,фаразлау
guide,кулланма
gun,мылтык
had,булган
hair,чәч
half,ярты
hand,кул
happen,була
happy,бәхетле
hard,авыр
has,бар
hat,шляпа
have,бар
he,ул
head,баш
hear,ишет
heard,ишеттеләр
heart,йөрәк
heat,җылылык
heavy,авыр
held,үткәрелде
help,ярдәм итегез
her,herәр сүзнең
here,монда
high,биек
hill,калкулык
him,аны
his,аның
history,тарих
hit,хит
hold,тоту
hole,тишек
home,өй
hope,өмет
horse,ат
hot,кайнар
hour,сәгать
house,йорт
how,ничек
huge,бик зур
human,кеше
hundred,йөз
hunt,ау
hurry,ашык
i,мин
ice,боз
idea,идея
if,if
imagine,күз алдыгызга китерегез
in,.әр сүзнең
inch,дюйм
include,кертегез
indicate,күрсәтегез
industry,сәнәгате
insect,бөҗәк
instant,мизгел
instrument,корал
interest,кызыксыну
invent,уйлап табу
iron,тимер
is,була
island,утрау
it,it
job,эш
join,кушыл
joy,шатлык
jump,сикерү
just,гадел
keep,саклагыз
kept,сакланган
key,ачкыч
kill,үтерү
kind,игелекле
king,патша
knew,белә иде
know,бел
lady,ханым
lake,күл
land,җир
language,тел
large,зур
last,соңгы
late,соң
laugh,көлү
law,закон
lay,ята
lead,кургаш
learn,өйрәнү
least,ким дигәндә
leave,китү
led,индикатор
left,сулда
leg,аягы
length,озынлык
less,кимрәк
let,рөхсәт ит
letter,хат
level,дәрәҗәсе
lie,ялган
life,тормыш
lift,лифт
light,яктылык
like,кебек
line,сызык
liquid,сыеклык
list,исемлеге
listen,тыңла
little,аз
live,яшә
locate,табу
log,бүрәнә
lone,ялгыз
long,озын
look,кара
lost,югалды
lot,күп
loud,көчле
love,мәхәббәт
low,түбән
machine,машина
made,ясалган
magnet,магнит
main,төп
major,майор
make,ясарга
man,кеше
many,күп
map,карта
mark,билгесе
market,базар
mass,масса
master,мастер
match,матч
material,материал
matter,материя
may,булырга мөмкин
me,мин
mean,уртача
meant,дигән сүз
measure,үлчәү
meat,ит
meet,очрашу
melody,көй
men,ирләр
metal,металл
method,ысулы
middle,урта
might,булырга мөмкин
mile,миль
milk,саварга
million,миллион
mind,акыл
mine,минеке
minute,минут
miss,сагыну
mix,катнаш
modern,заманча
molecule,молекула
moment,мизгел
money,акча
month,ай
moon,ай
more,күбрәк
morning,иртә
most,күпчелек
mother,әни
motion,хәрәкәт
mount,монтаж
mountain,тау
mouth,авыз
move,хәрәкәт
much,күп
multiply,тапкырлау
music,музыка
must,булырга тиеш
my,минем
name,исем
nation,милләт
natural,табигый
nature,табигать
near,янында
necessary,кирәк
neck,муен
need,кирәк
neighbor,күрше
never,беркайчан да
new,яңа
next,алга
night,төн
nine,тугыз
no,юк
noise,шау-шу
noon,төш
nor,һәм
north,төньяк
nose,борын
note,тамга
nothing,бернәрсә дә
notice,белдерү
noun,исем
now,хәзер
number,саны
numeral,сан
object,объект
observe,күзәтегез
occur,була
ocean,океан
of,һәм
off,сүндерелгән
offer,тәкъдим
office,офис
often,еш
oh,о
oil,нефть
old,карт
on,өстендә
once,бер тапкыр
one,бер
only,гына
open,ачык
operate,эшлә
opposite,киресенчә
or,яки
order,заказ
organ,орган
original,оригиналь
other,бүтән
our,безнең
out,чыга
over,бетте
own,үз
oxygen,кислород
page,бит
paint,буяу
pair,пар
paper,кәгазь
paragraph,абзац
parent,ата-ана
part,өлеше
particular,аерым
party,кичә
pass,узу
past,үткән
path,юл
pattern,үрнәк
pay,түләү
people,кешеләр
perhaps,бәлки
period,период
person,кеше
phrase,гыйбарә
pick,сайлау
picture,рәсем
piece,кисәк
pitch,тишек
place,урын
plain,гади
plan,план
plane,самолет
planet,планета
plant,үсемлек
play,уйнау
please,зинһар
plural,күплек
poem,шигырь
point,пункт
poor,ярлы
populate,халык
port,порт
pose,поза
position,позиция
possible,мөмкин
post,пост
pound,фунт
power,көче
practice,практика
prepare,әзерлән
present,хәзерге
press,басыгыз
pretty,бик матур
print,бастыру
probable,ихтимал
problem,проблема
process,процесс
produce,җитештермә
product,продукт
proper,тиеш
property,милек
protect,сакла
prove,исбатлау
provide,тәэмин итү
pull,киеренкелек
push,этәргеч
put,куегыз
quart,квартал
question,сорау
quick,тиз
quiet,тыныч
quite,шактый
quotient,квотиент
race,узыш
radio,радио
rail,тимер юл
rain,яңгыр
raise,күтәрү
ran,йөгерде
range,диапазоны
rather,киресенчә
reach,барып җитү
read,укыгыз
ready,әзер
real,реаль
reason,сәбәп
receive,алу
record,язма
red,кызыл
region,төбәк
remember,исегездә тотыгыз
repeat,кабатлау
reply,җавап
represent,вәкиллеге
require,таләп итә
rest,ял
result,нәтиҗә
rich,бай
ride,йөртү
right,уң
ring,шыңгырау
rise,күтәрелү
river,елга
road,юл
rock,кыя
roll,ролл
room,бүлмә
root,тамыр
rope,аркан
rose,роза
round,түгәрәк
row,рәт
rub,сөртегез
rule,кагыйдә
run,йөгер
safe,куркынычсыз
said,– диде
sail,җилкән
salt,тоз
same,шул ук
sand,ком
sat,утырды
save,саклагыз
saw,кара
say,әйтегез
scale,масштаб
school,мәктәп
science,фән
score,хисап
sea,диңгез
search,эзләү
season,сезон
seat,урын
second,икенче
section,бүлек
see,кара
seed,орлык
seem,кебек
segment,сегмент
select,сайлагыз
self,үзең
sell,сату
send,җибәрү
sense,мәгънә
sent,җибәрелгән
sentence,җөмлә
separate,аерым
serve,хезмәт ит
set,көйләү
settle,урнаштыру
seven,җиде
several,берничә
shall,.әр сүзнең
shape,формасы
share,бүлешү
sharp,үткен
she,ул
sheet,таблица
shell,кабыгы
shine,балкып тор
ship,кораб
shoe,аяк киеме
shop,кибет
shore,яр
short,кыска
should,тиеш
shoulder,җилкә
shout,кычкыр
show,шоу
side,ягы
sight,күрү
sign,билге
silent,эндәшми
silver,көмеш
similar,охшаш
simple,гади
since,шуннан
sing,җырла
single,ялгыз
sister,апа
sit,утыр
six,алты
size,зурлыгы
skill,осталык
skin,тире
sky,күк
slave,кол
sleep,йокы
slip,тайгак
slow,әкрен
small,кечкенә
smell,ис
smile,елмаеп кара
snow,кар
so,шулай
soft,йомшак
soil,туфрак
soldier,солдат
solution,чишелеш
solve,чишү
some,кайберләре
son,улы
song,җыр
soon,тиздән
sound,тавыш
south,көньяк
space,киңлек
speak,сөйләш
special,махсус
speech,сөйләм
speed,тизлек
spell,имла
spend,сарыф итү
spoke,сөйләде
spot,урын
spread,таралу
spring,яз
square,квадрат
stand,тор
star,йолдыз
start,башлау
state,дәүләт
station,станция
stay,калыгыз
stead,урынына
steam,пар
steel,корыч
step,адым
stick,таяк
still,һаман
stone,таш
stood,торды
stop,тукта
store,кибет
story,хикәя
straight,туры
strange,сәер
stream,агым
street,урам
stretch,суз
string,кыл
strong,көчле
student,студент
study,өйрәнү
subject,тема
substance,матдә
subtract,алу
success,уңыш
such,мондый
sudden,кинәт
suffix,суффикс
sugar,шикәр
suggest,тәкъдим итегез
suit,костюм
summer,җәй
sun,кояш
supply,тәэмин итү
support,ярдәм
sure,sureичшиксез
surface,өслеге
surprise,сюрприз
swim,йөзү
syllable,буын
symbol,символы
system,системасы
table,өстәл
tail,койрыгы
take,алыгыз
talk,сөйләшү
tall,озын
teach,өйрәт
team,команда
teeth,тешләр
tell,әйт
temperature,температура
ten,ун
term,термин
test,тест
than,караганда
thank,рәхмәт
that,бу
the,бу
their,аларның
them,алар
then,аннары
there,тегендә
these,болар
they,алар
thick,калын
thin,нечкә
thing,нәрсә
think,уйла
third,өченче
this,бу
those,алар
though,булса да
thought,– дип уйлады
thousand,мең
three,өч
through,аша
throw,ыргыту
thus,шулай итеп
tie,галстук
time,вакыт
tiny,кечкенә
tire,шина
to,to
together,бергә
told,– диде
tone,тон
too,шулай ук
took,алды
tool,корал
top,өстә
total,барлыгы
touch,кагылу
toward,ягына
town,шәһәр
track,трек
trade,сәүдә
train,поезд
travel,сәяхәт
tree,агач
triangle,өчпочмак
trip,сәяхәт
trouble,проблема
truck,йөк машинасы
true,чын
try,тырышып кара
tube,труба
turn,борылу
twenty,егерме
two,ике
type,тибы
under,астында
unit,берәмлек
until,кадәр
up,өскә
us,без
use,куллану
usual,гадәти
valley,үзән
value,кыйммәт
vary,төрле
verb,фигыль
very,бик
view,карау
village,авыл
visit,килү
voice,тавыш
vowel,аваз
wait,көт
walk,йөрергә
wall,дивар
want,кирәк
war,сугыш
warm,җылы
was,булган
wash,юу
watch,карау
water,су
wave,дулкын
way,юл
we,без
wear,кием
weather,һава торышы
week,атна
weight,авырлык
well,әйбәт
went,китте
were,булган
west,көнбатыш
what,нәрсә
wheel,тәгәрмәч
when,кайчан
where,кайда
whether,буламы
which,кайсы
while,шул вакытта
white,белый
who,кем
whole,тулы
whose,кем
why,нигә
wide,киң
wife,хатыны
wild,кыргый
will,булачак
win,җиңү
wind,җил
window,тәрәзә
wing,канат
winter,кыш
wire,чыбык
wish,теләк
with,белән
woman,хатын-кыз
women,хатын-кызлар
wonder,гаҗәпләнү
won’t,булмый
wood,агач
word,сүз
work,эш
world,дөнья
would,.әр сүзнең
write,яз
written,язылган
wrong,ялгыш
wrote,язган
yard,ишегалды
year,ел
yellow,сары
yes,әйе
yet,әле
you,син
young,яшь
your,сезнең
