competition,year,host,champion,champion_score,runner_up,runner_up_score,third_place,fourth_place
FIFA Futsal World Cup,1989,Netherlands,Brazil,,Netherlands,,United States,Belgium
FIFA Futsal World Cup,1992,Hong Kong,Brazil,,United States,,Spain,Iran
FIFA Futsal World Cup,1996,Spain,Brazil,,Spain,,Russia,Ukraine
FIFA Futsal World Cup,2000,Guatemala,Spain,,Brazil,,Portugal,Russia
FIFA Futsal World Cup,2004,Taiwan,Spain,,Italy,,Brazil,Argentina
FIFA Futsal World Cup,2008,Brazil,Brazil,,Spain,,Italy,Russia
FIFA Futsal World Cup,2012,Thailand,Brazil,,Spain,,Italy,Colombia
FIFA Futsal World Cup,2016,Colombia,Argentina,,Russia,,Iran,Portugal
FIFA Futsal World Cup,2021,Lithuania,Portugal,,Argentina,,Brazil,Kazakhstan
Copa América de Futsal,1992,Brazil,Brazil,,Argentina,,Paraguay,Ecuador
Copa América de Futsal,1995,Brazil,Brazil,,Argentina,,Uruguay,Paraguay
Copa América de Futsal,1996,Brazil,Brazil,,Uruguay,,Argentina,Paraguay
Copa América de Futsal,1997,Brazil,Brazil,,Argentina,,Paraguay,Uruguay
Copa América de Futsal,1998,Brazil,Brazil,,Paraguay,,Uruguay,Argentina
Copa América de Futsal,1999,Brazil,Brazil,,Paraguay,,Argentina,Uruguay
Copa América de Futsal,2000,Brazil,Brazil,,Argentina,,Uruguay,Bolivia
Copa América de Futsal,2003,Paraguay,Argentina,,Brazil,,Paraguay,Uruguay
Copa América de Futsal,2008,Uruguay,Brazil,,Uruguay,,Argentina,Paraguay
Copa América de Futsal,2011,Argentina,Brazil,,Argentina,,Paraguay,Colombia
Copa América de Futsal,2015,Ecuador,Argentina,,Paraguay,,Brazil,Colombia
Copa América de Futsal,2017,Argentina,Brazil,,Argentina,,Paraguay,Uruguay
Copa América de Futsal,2022,Paraguay,Argentina,,Paraguay,,Brazil,Colombia
CONCACAF Futsal Championship,1996,Guatemala,United States,,Cuba,,Mexico,Guatemala
CONCACAF Futsal Championship,2000,Costa Rica,Costa Rica,,Cuba,,United States,Mexico
CONCACAF Futsal Championship,2004,Costa Rica,United States,,Cuba,,Costa Rica,Mexico
CONCACAF Futsal Championship,2008,Guatemala,Guatemala,,Cuba,,United States,Panama
CONCACAF Futsal Championship,2012,Guatemala,Costa Rica,,Guatemala,,Panama,Mexico
CONCACAF Futsal Championship,2016,Costa Rica,Costa Rica,,Panama,,Guatemala,Cuba
CONCACAF Futsal Championship,2021,Guatemala,Costa Rica,,United States,,Guatemala,Panama
UEFA Futsal Championship,1996,Spain,Spain,,"Russia ",,"Belgium ","Italy "
UEFA Futsal Championship,1999,Spain,Russia,,Spain,,"Italy ",Netherlands
UEFA Futsal Championship,2001,Russia,Spain,,"Ukraine ",,"Russia ","Italy "
UEFA Futsal Championship,2003,Italy,Italy,,"Ukraine ",,Spain,Czech Republic
UEFA Futsal Championship,2005,Czech Republic,Spain,,"Russia ",,"Italy ","Ukraine "
UEFA Futsal Championship,2007,Portugal,Spain,,Italy,,Russia,"Portugal "
UEFA Futsal Championship,2010,Hungary,Spain,,"Portugal ",,"Czech Republic ","Azerbaijan "
UEFA Futsal Championship,2012,Croatia,Spain,,"Russia ",,"Italy ","Croatia "
UEFA Futsal Championship,2014,Belgium,Italy,,"Russia ",,"Spain ","Portugal "
UEFA Futsal Championship,2016,Serbia,Spain,,"Russia ",,Kazakhstan,"Serbia "
UEFA Futsal Championship,2018,Slovenia,Portugal,,"Spain ",,"Russia ","Kazakhstan "
UEFA Futsal Championship,2022,Netherlands,Portugal,,Russia,,"Spain ","Ukraine "
AFC Futsal Asian Cup,1999,Malaysia,Iran,,South Korea,,Kazakhstan,Japan
AFC Futsal Asian Cup,2000,Thailand,Iran,,Kazakhstan,,Thailand,Japan
AFC Futsal Asian Cup,2001,Iran,Iran,,Uzbekistan,,South Korea,Japan
AFC Futsal Asian Cup,2002,Indonesia,Iran,,Japan,,Thailand,South Korea
AFC Futsal Asian Cup,2003,Iran,Iran,,Japan,,Thailand,Kuwait
AFC Futsal Asian Cup,2004,Macau,Iran,,Japan,,Thailand,Uzbekistan
AFC Futsal Asian Cup,2005,Vietnam,Iran,,Japan,,Uzbekistan,Kyrgyzstan
AFC Futsal Asian Cup,2006,Uzbekistan,Japan,,Uzbekistan,,Iran,Kyrgyzstan
AFC Futsal Asian Cup,2007,Japan,Iran,,Japan,,Uzbekistan,Kyrgyzstan
AFC Futsal Asian Cup,2008,Thailand,Iran,,Thailand,,Japan,China
AFC Futsal Asian Cup,2010,Uzbekistan,Iran,,Uzbekistan,,Japan,China
AFC Futsal Asian Cup,2012,United Arab Emirates,Japan,,Thailand,,Iran,Australia
AFC Futsal Asian Cup,2014,Vietnam,Japan,,Iran,,Uzbekistan,Kuwait
AFC Futsal Asian Cup,2016,Uzbekistan,Iran,,Uzbekistan,,Thailand,Vietnam
AFC Futsal Asian Cup,2018,Taiwan,Iran,,Japan,,Uzbekistan,Iraq
AFC Futsal Asian Cup,2022,Kuwait,Japan,,Iran,,Uzbekistan,Thailand
Futsal Africa Cup of Nations,1996,Egypt,Egypt,,Ghana,,Zimbabwe,Somalia
Futsal Africa Cup of Nations,2000,Egypt,Egypt,,Morocco,,Libya,South Africa
Futsal Africa Cup of Nations,2004,Home & Away,Egypt,,Mozambique,,Guinea-Bissau,Morocco
Futsal Africa Cup of Nations,2008,Libya,Libya,,Egypt,,Morocco,Mozambique
Futsal Africa Cup of Nations,2016,South Africa,Morocco,,Egypt,,Mozambique,Zambia
Futsal Africa Cup of Nations,2020,Morocco,Morocco,,Egypt,,Angola,Libya
ASEAN Futsal Championship,2001,Malaysia,Thailand,12,Singapore,1,,
ASEAN Futsal Championship,2003,Malaysia,Thailand,4,Malaysia,0,,
ASEAN Futsal Championship,2005,Thailand,Thailand,5,Malaysia,1,,
ASEAN Futsal Championship,2006,Thailand,Thailand,10,Indonesia,3,,
ASEAN Futsal Championship,2007,Thailand,Thailand,7,Australia,1,,
ASEAN Futsal Championship,2008,Thailand,Thailand,5,Indonesia,1,,
ASEAN Futsal Championship,2009,Vietnam,Thailand,4,Vietnam,1,,
ASEAN Futsal Championship,2010,Vietnam,Indonesia,5,Malaysia,0,,
ASEAN Futsal Championship,2012,Thailand,Thailand,9,Vietnam,4,,
ASEAN Futsal Championship,2013,Thailand,Thailand,2,Australia,1,,
ASEAN Futsal Championship,2014,Malaysia,Thailand,6,Australia,0,,
ASEAN Futsal Championship,2015,Thailand,Thailand,5,Australia,3,,
ASEAN Futsal Championship,2016,Thailand,Thailand,8,Myanmar,1,,
ASEAN Futsal Championship,2017,Vietnam,Thailand,4,Malaysia,3,,
ASEAN Futsal Championship,2018,Indonesia,Thailand,4,Malaysia,2,,
ASEAN Futsal Championship,2019,Vietnam,Thailand,5,Indonesia,0,,
ASEAN Futsal Championship,2022,Thailand,Thailand,2,Indonesia,2,,
